NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;POP_MEN;POP_WOMEN;POP_TOTAL;REF_DATE
AT2;AT22;AT225;610;Leibnitz;61017;Hengsberg ;723;698;1421;01.01.2017
AT2;AT22;AT225;610;Leibnitz;61019;Kitzeck im Sausal ;614;612;1226;01.01.2017
AT2;AT22;AT225;610;Leibnitz;61020;Lang ;644;646;1290;01.01.2017
AT2;AT22;AT225;610;Leibnitz;61021;Lebring-Sankt Margarethen ;1093;1080;2173;01.01.2017
AT2;AT22;AT225;610;Leibnitz;61024;Oberhaag ;1105;1060;2165;01.01.2017
AT2;AT22;AT225;610;Leibnitz;61027;Ragnitz ;735;723;1458;01.01.2017
AT2;AT22;AT225;610;Leibnitz;61030;Sankt Andrä-Höch ;891;832;1723;01.01.2017
AT2;AT22;AT225;610;Leibnitz;61032;Sankt Johann im Saggautal ;1007;999;2006;01.01.2017
AT2;AT22;AT225;610;Leibnitz;61033;Sankt Nikolai im Sausal ;1120;1123;2243;01.01.2017
AT2;AT22;AT225;610;Leibnitz;61043;Tillmitsch ;1629;1617;3246;01.01.2017
AT2;AT22;AT225;610;Leibnitz;61045;Wagna ;2761;2976;5737;01.01.2017
AT2;AT22;AT225;610;Leibnitz;61049;Ehrenhausen an der Weinstraße ;1266;1315;2581;01.01.2017
AT2;AT22;AT225;610;Leibnitz;61050;Gamlitz ;1645;1617;3262;01.01.2017
AT2;AT22;AT225;610;Leibnitz;61051;Gleinstätten ;1413;1450;2863;01.01.2017
AT2;AT22;AT225;610;Leibnitz;61052;Heiligenkreuz am Waasen ;1381;1386;2767;01.01.2017
AT2;AT22;AT225;610;Leibnitz;61053;Leibnitz ;5829;6347;12176;01.01.2017
AT2;AT22;AT225;610;Leibnitz;61054;Leutschach an der Weinstraße ;1842;1893;3735;01.01.2017
AT2;AT22;AT225;610;Leibnitz;61055;Sankt Georgen an der Stiefing ;741;759;1500;01.01.2017
AT2;AT22;AT225;610;Leibnitz;61056;Sankt Veit in der Südsteiermark;2064;1975;4039;01.01.2017
AT2;AT22;AT225;610;Leibnitz;61057;Schwarzautal ;1186;1137;2323;01.01.2017
