NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;POP_MEN;POP_WOMEN;POP_TOTAL;REF_DATE
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62273;Loipersdorf bei Fürstenfeld ;971;924;1895;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62274;Neudau ;722;737;1459;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62275;Pöllau ;3013;3044;6057;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62276;Rohr bei Hartberg ;731;721;1452;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62277;Rohrbach an der Lafnitz ;1319;1338;2657;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62278;Vorau ;2363;2397;4760;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62279;Waldbach-Mönichwald;778;754;1532;01.01.2017
AT2;AT22;AT224;623;Südoststeiermark;62311;Edelsbach bei Feldbach ;654;680;1334;01.01.2017
AT2;AT22;AT224;623;Südoststeiermark;62314;Eichkögl ;657;646;1303;01.01.2017
AT2;AT22;AT224;623;Südoststeiermark;62326;Halbenrain ;857;896;1753;01.01.2017
AT2;AT22;AT224;623;Südoststeiermark;62330;Jagerberg ;823;822;1645;01.01.2017
AT2;AT22;AT224;623;Südoststeiermark;62332;Kapfenstein ;779;798;1577;01.01.2017
AT2;AT22;AT224;623;Südoststeiermark;62335;Klöch ;619;588;1207;01.01.2017
AT2;AT22;AT224;623;Südoststeiermark;62343;Mettersdorf am Saßbach ;663;630;1293;01.01.2017
AT2;AT22;AT224;623;Südoststeiermark;62347;Murfeld ;823;833;1656;01.01.2017
AT2;AT22;AT224;623;Südoststeiermark;62368;Tieschen ;631;635;1266;01.01.2017
AT2;AT22;AT224;623;Südoststeiermark;62372;Unterlamm ;624;622;1246;01.01.2017
AT2;AT22;AT224;623;Südoststeiermark;62375;Bad Gleichenberg ;2599;2737;5336;01.01.2017
AT2;AT22;AT224;623;Südoststeiermark;62376;Bad Radkersburg ;1500;1660;3160;01.01.2017
AT2;AT22;AT224;623;Südoststeiermark;62377;Deutsch Goritz ;914;897;1811;01.01.2017
AT2;AT22;AT224;623;Südoststeiermark;62378;Fehring ;3597;3735;7332;01.01.2017
AT2;AT22;AT224;623;Südoststeiermark;62379;Feldbach ;6491;6837;13328;01.01.2017
AT2;AT22;AT224;623;Südoststeiermark;62380;Gnas ;3063;3016;6079;01.01.2017
AT2;AT22;AT224;623;Südoststeiermark;62381;Kirchbach-Zerlach;1628;1632;3260;01.01.2017
AT2;AT22;AT224;623;Südoststeiermark;62382;Kirchberg an der Raab ;2213;2233;4446;01.01.2017
AT2;AT22;AT224;623;Südoststeiermark;62383;Mureck ;1742;1816;3558;01.01.2017
AT2;AT22;AT224;623;Südoststeiermark;62384;Paldau ;1525;1545;3070;01.01.2017
AT2;AT22;AT224;623;Südoststeiermark;62385;Pirching am Traubenberg ;1272;1311;2583;01.01.2017
AT2;AT22;AT224;623;Südoststeiermark;62386;Riegersburg ;2495;2411;4906;01.01.2017
AT2;AT22;AT224;623;Südoststeiermark;62387;Sankt Anna am Aigen ;1203;1154;2357;01.01.2017
AT2;AT22;AT224;623;Südoststeiermark;62388;Sankt Peter am Ottersbach ;1494;1459;2953;01.01.2017
AT2;AT22;AT224;623;Südoststeiermark;62389;Sankt Stefan im Rosental ;2000;1966;3966;01.01.2017
AT2;AT22;AT224;623;Südoststeiermark;62390;Straden ;1808;1811;3619;01.01.2017
