NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_CODE;LAU_CODE;LAU_NAME;POP_2015;POP_2020;POP_2025;POP_2030
AT2;AT22;AT225;610;Leibnitz;61030;Sankt Andrä-Höch;1742;1717;1687;1665
AT2;AT22;AT225;610;Leibnitz;61032;Sankt Johann im Saggautal;2031;2007;1987;1964
AT2;AT22;AT225;610;Leibnitz;61033;Sankt Nikolai im Sausal;2211;2240;2263;2280
AT2;AT22;AT225;610;Leibnitz;61043;Tillmitsch;3200;3241;3275;3303
AT2;AT22;AT225;610;Leibnitz;61045;Wagna;5493;5665;5795;5898
AT2;AT22;AT225;610;Leibnitz;61049;Ehrenhausen an der Weinstraße;2575;2537;2536;2529
AT2;AT22;AT225;610;Leibnitz;61050;Gamlitz;3235;3214;3201;3192
AT2;AT22;AT225;610;Leibnitz;61051;Gleinstätten;2831;2759;2698;2655
AT2;AT22;AT225;610;Leibnitz;61052;Heiligenkreuz am Waasen;2719;2771;2828;2880
AT2;AT22;AT225;610;Leibnitz;61053;Leibnitz;11630;12050;12434;12715
AT2;AT22;AT225;610;Leibnitz;61054;Leutschach an der Weinstraße;3778;3707;3621;3554
AT2;AT22;AT225;610;Leibnitz;61055;Sankt Georgen an der Stiefing;1502;1474;1463;1458
AT2;AT22;AT225;610;Leibnitz;61056;Sankt Veit in der Südsteiermark;4077;4078;4085;4082
AT2;AT22;AT225;610;Leibnitz;61057;Schwarzautal;2312;2261;2230;2212
AT2;AT22;AT225;610;Leibnitz;61058;Straß in Steiermark;4840;4885;4934;4970
AT2;AT22;AT225;610;Leibnitz;61059;Wildon;5217;5345;5468;5580
AT2;AT22;AT223;611;Leoben;61101;Eisenerz;4330;3746;3246;2850
AT2;AT22;AT223;611;Leoben;61105;Kalwang;1032;990;932;885
AT2;AT22;AT223;611;Leoben;61106;Kammern im Liesingtal;1620;1569;1516;1467
AT2;AT22;AT223;611;Leoben;61107;Kraubath an der Mur;1262;1228;1195;1164
AT2;AT22;AT223;611;Leoben;61108;Leoben;24695;24528;24482;24363
AT2;AT22;AT223;611;Leoben;61109;Mautern in Steiermark;1787;1787;1760;1735
AT2;AT22;AT223;611;Leoben;61110;Niklasdorf;2556;2510;2469;2432
AT2;AT22;AT223;611;Leoben;61111;Proleb;1557;1451;1393;1340
AT2;AT22;AT223;611;Leoben;61112;Radmer;610;536;475;430
AT2;AT22;AT223;611;Leoben;61113;Sankt Michael in Obersteiermark;2991;2883;2762;2666
AT2;AT22;AT223;611;Leoben;61114;Sankt Peter-Freienstein;2380;2321;2237;2173
AT2;AT22;AT223;611;Leoben;61115;Sankt Stefan ob Leoben;1917;1820;1738;1665
AT2;AT22;AT223;611;Leoben;61116;Traboch;1384;1330;1298;1267
AT2;AT22;AT223;611;Leoben;61118;Vordernberg;1018;962;909;865
AT2;AT22;AT223;611;Leoben;61119;Wald am Schoberpaß;602;566;543;523
AT2;AT22;AT223;611;Leoben;61120;Trofaiach;11208;10919;10655;10410
AT2;AT22;AT222;612;Liezen;61203;Aigen im Ennstal;2565;2551;2526;2498
AT2;AT22;AT222;612;Liezen;61204;Altaussee;1828;1803;1782;1755
AT2;AT22;AT222;612;Liezen;61205;Altenmarkt bei Sankt Gallen;848;820;793;772
AT2;AT22;AT222;612;Liezen;61206;Ardning;1191;1184;1174;1163
AT2;AT22;AT222;612;Liezen;61207;Bad Aussee;4763;4672;4580;4490
AT2;AT22;AT222;612;Liezen;61213;Gröbming;2809;2830;2840;2838
AT2;AT22;AT222;612;Liezen;61215;Grundlsee;1219;1183;1147;1116
AT2;AT22;AT222;612;Liezen;61217;Haus;2399;2387;2375;2363
AT2;AT22;AT222;612;Liezen;61222;Lassing;1690;1674;1678;1672
AT2;AT22;AT222;612;Liezen;61236;Ramsau am Dachstein;2765;2764;2745;2712
AT2;AT22;AT222;612;Liezen;61243;Selzthal;1644;1519;1450;1389
AT2;AT22;AT222;612;Liezen;61247;Trieben;3368;3205;3090;2993
AT2;AT22;AT222;612;Liezen;61251;Wildalpen;501;448;410;381
AT2;AT22;AT222;612;Liezen;61252;Wörschach;1134;1123;1091;1057
AT2;AT22;AT222;612;Liezen;61253;Admont;5009;4900;4815;4737
AT2;AT22;AT222;612;Liezen;61254;Aich;1215;1226;1227;1225
AT2;AT22;AT222;612;Liezen;61255;Bad Mitterndorf;4912;4930;4910;4861
AT2;AT22;AT222;612;Liezen;61256;Gaishorn am See;1336;1240;1170;1114
AT2;AT22;AT222;612;Liezen;61257;Irdning-Donnersbachtal;4130;4122;4098;4047
AT2;AT22;AT222;612;Liezen;61258;Landl;2876;2664;2468;2300
AT2;AT22;AT222;612;Liezen;61259;Liezen;8052;8119;8142;8136
AT2;AT22;AT222;612;Liezen;61260;Michaelerberg-Pruggern;1145;1132;1111;1091
AT2;AT22;AT222;612;Liezen;61261;Mitterberg-Sankt Martin;1934;1956;1953;1944
AT2;AT22;AT222;612;Liezen;61262;Öblarn;2023;2081;2079;2069
AT2;AT22;AT222;612;Liezen;61263;Rottenmann;5239;5067;4904;4757
AT2;AT22;AT222;612;Liezen;61264;Sankt Gallen;1851;1728;1636;1550
AT2;AT22;AT222;612;Liezen;61265;Schladming;6716;6720;6655;6564
AT2;AT22;AT222;612;Liezen;61266;Sölk;1544;1499;1444;1395
AT2;AT22;AT222;612;Liezen;61267;Stainach-Pürgg;2868;2728;2634;2556
AT2;AT22;AT226;614;Murau;61410;Mühlen;885;829;788;751
AT2;AT22;AT226;614;Murau;61413;Niederwölz;600;613;607;592
AT2;AT22;AT226;614;Murau;61425;St. Peter am Kammersberg;2087;2017;1964;1909
AT2;AT22;AT226;614;Murau;61428;Schöder;990;902;848;802
AT2;AT22;AT226;614;Murau;61437;Krakau;1461;1382;1291;1214
AT2;AT22;AT226;614;Murau;61438;Murau;3718;3688;3603;3507
AT2;AT22;AT226;614;Murau;61439;Neumarkt in der Steiermark;5069;4822;4649;4488
AT2;AT22;AT226;614;Murau;61440;Oberwölz;3007;2850;2705;2572
AT2;AT22;AT226;614;Murau;61441;Ranten;1197;1131;1079;1033
AT2;AT22;AT226;614;Murau;61442;Sankt Georgen am Kreischberg;1810;1775;1696;1621
AT2;AT22;AT226;614;Murau;61443;Sankt Lambrecht;1919;1764;1641;1551
AT2;AT22;AT226;614;Murau;61444;Scheifling;2172;2136;2097;2065
AT2;AT22;AT226;614;Murau;61445;Stadl-Predlitz;1718;1711;1641;1572
AT2;AT22;AT226;614;Murau;61446;Teufenbach-Katsch;1857;1823;1820;1822
AT2;AT22;AT225;616;Voitsberg;61611;Krottendorf-Gaisfeld;2417;2430;2428;2426
AT2;AT22;AT225;616;Voitsberg;61612;Ligist;3228;3168;3134;3105
AT2;AT22;AT225;616;Voitsberg;61615;Mooskirchen;2188;2275;2383;2460
AT2;AT22;AT225;616;Voitsberg;61618;Rosental an der Kainach;1680;1643;1603;1572
AT2;AT22;AT225;616;Voitsberg;61621;Sankt Martin am Wöllmißberg;810;783;765;750
AT2;AT22;AT225;616;Voitsberg;61624;Stallhofen;3128;3111;3103;3096
AT2;AT22;AT225;616;Voitsberg;61625;Voitsberg;9437;9376;9259;9147
AT2;AT22;AT225;616;Voitsberg;61626;Bärnbach;5631;5650;5657;5649
AT2;AT22;AT225;616;Voitsberg;61627;Edelschrott;1773;1693;1617;1559
AT2;AT22;AT225;616;Voitsberg;61628;Geistthal-Södingberg;1617;1523;1453;1399
AT2;AT22;AT225;616;Voitsberg;61629;Hirschegg-Pack;1049;962;899;854
AT2;AT22;AT225;616;Voitsberg;61630;Kainach bei Voitsberg;1679;1613;1567;1526
AT2;AT22;AT225;616;Voitsberg;61631;Köflach;10093;9764;9572;9404
AT2;AT22;AT225;616;Voitsberg;61632;Maria Lankowitz;2923;2840;2778;2732
AT2;AT22;AT225;616;Voitsberg;61633;Söding-Sankt Johann;4049;4164;4254;4313
AT2;AT22;AT224;617;Weiz;61701;Albersdorf-Prebuch;1999;2010;2012;2013
AT2;AT22;AT224;617;Weiz;61708;Fischbach;1505;1417;1335;1264
AT2;AT22;AT224;617;Weiz;61710;Floing;1205;1191;1178;1166
AT2;AT22;AT224;617;Weiz;61711;Gasen;944;934;923;910
AT2;AT22;AT224;617;Weiz;61716;Markt Hartmannsdorf;2981;3000;3008;3019
AT2;AT22;AT224;617;Weiz;61719;Hofstätten an der Raab;2141;2255;2351;2429
AT2;AT22;AT224;617;Weiz;61727;Ludersdorf-Wilfersdorf;2219;2387;2518;2614
AT2;AT22;AT224;617;Weiz;61728;Miesenbach bei Birkfeld;724;702;671;644
AT2;AT22;AT224;617;Weiz;61729;Mitterdorf an der Raab;2078;2061;2046;2031
AT2;AT22;AT224;617;Weiz;61730;Mortantsch;2081;2083;2117;2145
AT2;AT22;AT224;617;Weiz;61731;Naas;1419;1400;1401;1400
AT2;AT22;AT224;617;Weiz;61740;Puch bei Weiz;2072;2028;1990;1958
AT2;AT22;AT224;617;Weiz;61741;Ratten;1180;1188;1201;1211
AT2;AT22;AT224;617;Weiz;61743;Rettenegg;769;754;760;765
AT2;AT22;AT224;617;Weiz;61744;St. Kathrein am Hauenstein;682;666;661;656
AT2;AT22;AT224;617;Weiz;61745;Sankt Kathrein am Offenegg;1118;1076;1037;1008
AT2;AT22;AT224;617;Weiz;61746;St. Margarethen an der Raab;3989;4155;4302;4422
AT2;AT22;AT224;617;Weiz;61748;Sinabelkirchen;4134;4245;4361;4450
AT2;AT22;AT224;617;Weiz;61750;Strallegg;1929;1885;1828;1769
AT2;AT22;AT224;617;Weiz;61751;Thannhausen;2376;2367;2371;2376
AT2;AT22;AT224;617;Weiz;61756;Anger;4141;4031;3965;3904
AT2;AT22;AT224;617;Weiz;61757;Birkfeld;5119;4991;4872;4772
AT2;AT22;AT224;617;Weiz;61758;Fladnitz an der Teichalm;1820;1789;1746;1705
AT2;AT22;AT224;617;Weiz;61759;Gersdorf an der Feistritz;1685;1673;1658;1640
AT2;AT22;AT224;617;Weiz;61760;Gleisdorf;10278;10815;11270;11638
AT2;AT22;AT224;617;Weiz;61761;Gutenberg-Stenzengreith;1755;1762;1772;1777
AT2;AT22;AT224;617;Weiz;61762;Ilztal;2143;2157;2169;2179
AT2;AT22;AT224;617;Weiz;61763;Passail;4301;4227;4165;4111
AT2;AT22;AT224;617;Weiz;61764;Pischelsdorf am Kulm;3630;3714;3727;3725
AT2;AT22;AT224;617;Weiz;61765;Sankt Ruprecht an der Raab;4969;5186;5357;5496
AT2;AT22;AT224;617;Weiz;61766;Weiz;11316;11726;11976;12160
AT2;AT22;AT226;620;Murtal;62007;Fohnsdorf;7770;7465;7214;7012
AT2;AT22;AT226;620;Murtal;62008;Gaal;1428;1427;1390;1353
AT2;AT22;AT226;620;Murtal;62010;Hohentauern;433;395;371;349
AT2;AT22;AT226;620;Murtal;62014;Kobenz;1839;1842;1826;1813
AT2;AT22;AT226;620;Murtal;62021;Pusterwald;478;463;444;428
AT2;AT22;AT226;620;Murtal;62026;Sankt Georgen ob Judenburg;870;847;828;806
AT2;AT22;AT226;620;Murtal;62032;Sankt Peter ob Judenburg;1108;1056;1047;1033
AT2;AT22;AT226;620;Murtal;62034;Seckau;1303;1289;1294;1297
AT2;AT22;AT226;620;Murtal;62036;Unzmarkt-Frauenburg;1378;1378;1355;1324
AT2;AT22;AT226;620;Murtal;62038;Zeltweg;7329;7286;7179;7069
AT2;AT22;AT226;620;Murtal;62039;Lobmingtal;1803;1786;1737;1688
AT2;AT22;AT226;620;Murtal;62040;Judenburg;10072;9736;9408;9118
AT2;AT22;AT226;620;Murtal;62041;Knittelfeld;12546;12439;12355;12221
AT2;AT22;AT226;620;Murtal;62042;Obdach;3875;3737;3643;3562
AT2;AT22;AT226;620;Murtal;62043;Pöls-Oberkurzheim;3047;2813;2629;2484
AT2;AT22;AT226;620;Murtal;62044;Pölstal;2744;2682;2643;2608
AT2;AT22;AT226;620;Murtal;62045;Sankt Marein-Feistritz;2026;2070;2079;2068
AT2;AT22;AT226;620;Murtal;62046;Sankt Margarethen bei Knittelfeld;2705;2603;2522;2451
AT2;AT22;AT226;620;Murtal;62047;Spielberg;5293;5249;5169;5073
AT2;AT22;AT226;620;Murtal;62048;Weißkirchen in Steiermark;4883;4709;4540;4388
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62105;Breitenau am Hochlantsch;1749;1635;1541;1460
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62115;Krieglach;5133;5087;5003;4909
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62116;Langenwang;3930;3785;3660;3524
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62125;Pernegg an der Mur;2347;2262;2182;2113
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62128;Sankt Lorenzen im Mürztal;3521;3573;3583;3566
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62131;Spital am Semmering;1770;1563;1543;1515
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62132;Stanz im Mürztal;1849;1732;1638;1540
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62135;Turnau;1549;1511;1483;1462
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62138;Aflenz;2428;2284;2176;2090
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62139;Bruck an der Mur;15804;16017;16002;15913
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62140;Kapfenberg;23188;22725;22244;21784
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62141;Kindberg;8249;8095;7948;7780
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62142;Mariazell;3963;3768;3589;3428
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62143;Mürzzuschlag;8813;8317;7941;7649
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62144;Neuberg an der Mürz;2795;2690;2640;2598
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62145;Sankt Barbara im Mürztal;6795;6488;6231;5995
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62146;Sankt Marein im Mürztal;2672;2717;2710;2693
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62147;Thörl;2342;2238;2138;2052
