NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;POP_0_14;POP_15_29;POP_30_44;POP_45_59;POP_60_74;POP_75;POP_TOTAL;REF_DATE
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62211;Friedberg ;345;423;495;617;410;286;2576;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62214;Greinbach ;256;322;353;420;295;154;1800;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62216;Großsteinbach ;166;192;259;313;219;107;1256;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62219;Hartberg ;894;1051;1221;1551;1140;704;6561;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62220;Hartberg Umgebung ;404;327;485;521;313;193;2243;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62226;Lafnitz ;211;270;306;327;211;147;1472;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62232;Ottendorf an der Rittschein ;214;283;301;443;183;135;1559;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62233;Pinggau ;483;511;669;696;519;302;3180;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62235;Pöllauberg ;282;337;426;484;351;189;2069;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62242;Sankt Jakob im Walde ;146;188;184;273;152;101;1044;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62244;Sankt Johann in der Haide ;291;408;433;497;324;190;2143;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62245;Sankt Lorenzen am Wechsel ;202;292;266;335;255;152;1502;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62247;Schäffern ;222;271;285;317;174;132;1401;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62252;Söchau ;169;220;236;359;248;187;1419;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62256;Stubenberg ;291;336;419;557;385;184;2172;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62262;Wenigzell ;206;213;270;321;245;148;1403;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62264;Bad Waltersdorf ;543;670;775;942;544;329;3803;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62265;Dechantskirchen ;292;348;386;507;295;205;2033;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62266;Feistritztal;335;435;479;612;342;261;2464;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62267;Fürstenfeld ;1014;1342;1591;2049;1522;954;8472;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62268;Grafendorf bei Hartberg ;464;496;647;749;496;273;3125;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62269;Großwilfersdorf ;305;355;393;532;297;232;2114;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62270;Hartl ;302;380;428;552;298;175;2135;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62271;Ilz ;530;618;737;949;536;350;3720;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62272;Kaindorf ;427;524;600;697;422;284;2954;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62273;Loipersdorf bei Fürstenfeld ;247;275;390;475;312;196;1895;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62274;Neudau ;230;234;267;352;212;164;1459;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62275;Pöllau ;790;1051;1102;1572;930;612;6057;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62276;Rohr bei Hartberg ;181;237;272;358;260;144;1452;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62277;Rohrbach an der Lafnitz ;325;452;486;651;473;270;2657;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62278;Vorau ;667;758;912;1098;791;534;4760;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62279;Waldbach-Mönichwald;202;258;273;357;277;165;1532;01.01.2017
AT2;AT22;AT224;623;Südoststeiermark;62311;Edelsbach bei Feldbach ;209;220;274;310;218;103;1334;01.01.2017
AT2;AT22;AT224;623;Südoststeiermark;62314;Eichkögl ;208;200;313;291;180;111;1303;01.01.2017
AT2;AT22;AT224;623;Südoststeiermark;62326;Halbenrain ;186;266;313;445;302;241;1753;01.01.2017
AT2;AT22;AT224;623;Südoststeiermark;62330;Jagerberg ;238;254;348;380;246;179;1645;01.01.2017
AT2;AT22;AT224;623;Südoststeiermark;62332;Kapfenstein ;242;229;306;360;252;188;1577;01.01.2017
AT2;AT22;AT224;623;Südoststeiermark;62335;Klöch ;145;163;236;291;263;109;1207;01.01.2017
AT2;AT22;AT224;623;Südoststeiermark;62343;Mettersdorf am Saßbach ;168;197;246;338;197;147;1293;01.01.2017
AT2;AT22;AT224;623;Südoststeiermark;62347;Murfeld ;225;268;319;431;264;149;1656;01.01.2017
AT2;AT22;AT224;623;Südoststeiermark;62368;Tieschen ;154;164;264;295;249;140;1266;01.01.2017
AT2;AT22;AT224;623;Südoststeiermark;62372;Unterlamm ;160;192;236;347;163;148;1246;01.01.2017
AT2;AT22;AT224;623;Südoststeiermark;62375;Bad Gleichenberg ;712;884;967;1294;882;597;5336;01.01.2017
AT2;AT22;AT224;623;Südoststeiermark;62376;Bad Radkersburg ;353;383;491;808;683;442;3160;01.01.2017
AT2;AT22;AT224;623;Südoststeiermark;62377;Deutsch Goritz ;224;294;328;462;298;205;1811;01.01.2017
AT2;AT22;AT224;623;Südoststeiermark;62378;Fehring ;981;1100;1349;1820;1189;893;7332;01.01.2017
AT2;AT22;AT224;623;Südoststeiermark;62379;Feldbach ;1880;2298;2595;3221;2041;1293;13328;01.01.2017
AT2;AT22;AT224;623;Südoststeiermark;62380;Gnas ;833;1074;1139;1492;867;674;6079;01.01.2017
AT2;AT22;AT224;623;Südoststeiermark;62381;Kirchbach-Zerlach;430;537;627;836;450;380;3260;01.01.2017
AT2;AT22;AT224;623;Südoststeiermark;62382;Kirchberg an der Raab ;650;704;908;1086;690;408;4446;01.01.2017
AT2;AT22;AT224;623;Südoststeiermark;62383;Mureck ;423;560;620;901;643;411;3558;01.01.2017
AT2;AT22;AT224;623;Südoststeiermark;62384;Paldau ;436;496;614;749;459;316;3070;01.01.2017
AT2;AT22;AT224;623;Südoststeiermark;62385;Pirching am Traubenberg ;396;419;534;677;372;185;2583;01.01.2017
AT2;AT22;AT224;623;Südoststeiermark;62386;Riegersburg ;643;749;924;1270;781;539;4906;01.01.2017
AT2;AT22;AT224;623;Südoststeiermark;62387;Sankt Anna am Aigen ;261;394;399;637;377;289;2357;01.01.2017
AT2;AT22;AT224;623;Südoststeiermark;62388;Sankt Peter am Ottersbach ;372;467;554;774;442;344;2953;01.01.2017
AT2;AT22;AT224;623;Südoststeiermark;62389;Sankt Stefan im Rosental ;581;656;769;964;599;397;3966;01.01.2017
AT2;AT22;AT224;623;Südoststeiermark;62390;Straden ;436;570;650;931;625;407;3619;01.01.2017
