NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;POP_0_14;POP_15_29;POP_30_44;POP_45_59;POP_60_74;POP_75;POP_TOTAL;REF_DATE
AT2;AT22;AT221;606;Graz-Umgebung;60669;Seiersberg-Pirka  ;1554;1894;2282;2885;1583;853;11051;01.01.2017
AT2;AT22;AT221;606;Graz-Umgebung;60670;Premstätten;790;1000;1284;1404;899;557;5934;01.01.2017
AT2;AT22;AT225;610;Leibnitz;61001;Allerheiligen bei Wildon ;215;199;284;359;233;160;1450;01.01.2017
AT2;AT22;AT225;610;Leibnitz;61002;Arnfels ;162;173;180;229;174;123;1041;01.01.2017
AT2;AT22;AT225;610;Leibnitz;61007;Empersdorf ;196;181;331;317;221;123;1369;01.01.2017
AT2;AT22;AT225;610;Leibnitz;61008;Gabersdorf ;194;249;240;294;147;91;1215;01.01.2017
AT2;AT22;AT225;610;Leibnitz;61012;Gralla ;364;410;589;549;287;116;2315;01.01.2017
AT2;AT22;AT225;610;Leibnitz;61013;Großklein ;311;367;430;570;384;206;2268;01.01.2017
AT2;AT22;AT225;610;Leibnitz;61016;Heimschuh ;298;307;402;468;321;190;1986;01.01.2017
AT2;AT22;AT225;610;Leibnitz;61017;Hengsberg ;226;196;307;372;206;114;1421;01.01.2017
AT2;AT22;AT225;610;Leibnitz;61019;Kitzeck im Sausal ;155;184;240;283;233;131;1226;01.01.2017
AT2;AT22;AT225;610;Leibnitz;61020;Lang ;182;198;289;325;194;102;1290;01.01.2017
AT2;AT22;AT225;610;Leibnitz;61021;Lebring-Sankt Margarethen ;293;376;424;569;345;166;2173;01.01.2017
AT2;AT22;AT225;610;Leibnitz;61024;Oberhaag ;291;352;399;527;367;229;2165;01.01.2017
AT2;AT22;AT225;610;Leibnitz;61027;Ragnitz ;195;230;308;364;242;119;1458;01.01.2017
AT2;AT22;AT225;610;Leibnitz;61030;Sankt Andrä-Höch ;201;285;306;476;306;149;1723;01.01.2017
AT2;AT22;AT225;610;Leibnitz;61032;Sankt Johann im Saggautal ;267;331;393;497;325;193;2006;01.01.2017
AT2;AT22;AT225;610;Leibnitz;61033;Sankt Nikolai im Sausal ;272;335;416;608;380;232;2243;01.01.2017
AT2;AT22;AT225;610;Leibnitz;61043;Tillmitsch ;395;532;672;901;545;201;3246;01.01.2017
AT2;AT22;AT225;610;Leibnitz;61045;Wagna ;778;974;1146;1462;873;504;5737;01.01.2017
AT2;AT22;AT225;610;Leibnitz;61049;Ehrenhausen an der Weinstraße ;388;401;532;647;401;212;2581;01.01.2017
AT2;AT22;AT225;610;Leibnitz;61050;Gamlitz ;468;542;646;734;573;299;3262;01.01.2017
