Variable;Wert;Kommentar
car_countryroad;1.00;Variabler Faktor Normal (80 km/h)
car_autobahn;0.615;Variabler Faktor Autobahn (130 km/h)
publicTransport_train;2;Variabler Faktor Zug default 0.8
publicTransport_bus;2;Variabler Faktor Bus default 1.3
bicycle_countryroad;2.2;Variabler Faktor Rad
